Simualtion is 
MK Round1:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round2:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round3:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round4:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round5:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round6:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round7:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round8:	 Attack:low,	 Defense:medium	......... Hit!
MK Round9:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round10:	 Attack:medium,	 Defense:low	......... Hit!
MK Round11:	 Attack:high,	 Defense:medium	......... Hit!
MK Round12:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round13:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round14:	 Attack:low,	 Defense:medium	......... Hit!
MK Round15:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round16:	 Attack:medium,	 Defense:low	......... Hit!
MK Round17:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round18:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round19:	 Attack:X-low,	 Defense:low	......... Hit!
MK Round20:	 Attack:high,	 Defense:medium	......... Hit!
MK Round21:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round22:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round23:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round24:	 Attack:X-low,	 Defense:low	......... Hit!
MK Round25:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round26:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round27:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round28:	 Attack:low,	 Defense:low	......... Blocked
MK Round29:	 Attack:low,	 Defense:medium	......... Hit!
MK Round30:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round31:	 Attack:medium,	 Defense:low	......... Hit!
MK Round32:	 Attack:low,	 Defense:medium	......... Hit!
MK Round33:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round34:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round35:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round36:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round37:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round38:	 Attack:X-low,	 Defense:low	......... Hit!
MK Round39:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round40:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round41:	 Attack:X-low,	 Defense:low	......... Hit!
MK Round42:	 Attack:low,	 Defense:low	......... Blocked
MK Round43:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round44:	 Attack:high,	 Defense:medium	......... Hit!
MK Round45:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round46:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round47:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round48:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round49:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round50:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round51:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round52:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round53:	 Attack:low,	 Defense:low	......... Blocked
MK Round54:	 Attack:low,	 Defense:medium	......... Hit!
MK Round55:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round56:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round57:	 Attack:high,	 Defense:medium	......... Hit!
MK Round58:	 Attack:medium,	 Defense:low	......... Hit!
MK Round59:	 Attack:high,	 Defense:medium	......... Hit!
MK Round60:	 Attack:medium,	 Defense:low	......... Hit!
MK Round61:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round62:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round63:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round64:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round65:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round66:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round67:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round68:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round69:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round70:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round71:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round72:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round73:	 Attack:X-low,	 Defense:X-low	......... Blocked
